UVIC Course Description,Subject,Course Number,Course Name
MUS380C - University Concert Band,MUS,380C,University Concert Band
MUS380D - Jazz and Creative Music Ensemble,MUS,380D,Jazz and Creative Music Ensemble
MUS380E - University Chorus,MUS,380E,University Chorus
MUS380F - Chamber Singers,MUS,380F,Chamber Singers
MUS381 - Chamber Music,MUS,381,Chamber Music
MUS389 - Vikes Band,MUS,389,Vikes Band
MUS390 - Special Studies,MUS,390,Special Studies
MUS391 - Cross-Cultural and Historical Topics in Music,MUS,391,Cross-Cultural and Historical Topics in Music
MUS401A - Topics in Music Theory and Analysis,MUS,401A,Topics in Music Theory and Analysis
MUS401B - Counterpoint,MUS,401B,Counterpoint
MUS401C - Acoustics of Music,MUS,401C,Acoustics of Music
MUS401D - Jazz Theory,MUS,401D,Jazz Theory
MUS405 - Music Composition III,MUS,405,Music Composition III
MUS406A - Advanced Sound Recording Techniques,MUS,406A,Advanced Sound Recording Techniques
MUS406B - Sound Recording Seminar,MUS,406B,Sound Recording Seminar
MUS407 - Computer Music Seminar,MUS,407,Computer Music Seminar
MUS421 - Selected Topics in Music History,MUS,421,Selected Topics in Music History
MUS431 - Current Issues in Music Education,MUS,431,Current Issues in Music Education
MUS437 - Music in the Secondary School Curriculum,MUS,437,Music in the Secondary School Curriculum
MUS439 - Instrumental and Choral Clinic,MUS,439,Instrumental and Choral Clinic
MUS440 - Individual Tuition,MUS,440,Individual Tuition
MUS445 - Seminar in Performance,MUS,445,Seminar in Performance
MUS448 - Graduating Recital,MUS,448,Graduating Recital
MUS462A - Seminar in Performance of New Music,MUS,462A,Seminar in Performance of New Music
MUS462B - Seminar in Contemporary Composition and Performance,MUS,462B,Seminar in Contemporary Composition and Performance
MUS480A - University Orchestra,MUS,480A,University Orchestra
MUS480B - University Wind Symphony,MUS,480B,University Wind Symphony
MUS480C - University Concert Band,MUS,480C,University Concert Band
MUS480D - Jazz and Creative Music Ensemble,MUS,480D,Jazz and Creative Music Ensemble
MUS480E - University Chorus,MUS,480E,University Chorus
MUS480F - Chamber Singers,MUS,480F,Chamber Singers
MUS481 - Chamber Music,MUS,481,Chamber Music
MUS489 - Vikes Band,MUS,489,Vikes Band
MUS490 - Special Studies,MUS,490,Special Studies
MUS498A - Music Research I,MUS,498A,Music Research I
MUS498B - Music Research II,MUS,498B,Music Research II
MUS499 - Graduating Projects in Music History,MUS,499,Graduating Projects in Music History
NURS341 - Professional Practice IV: Nursing Inquiry,NURS,341,Professional Practice IV: Nursing Inquiry
NURS342 - Health and Healing VI: Global Health Issues,NURS,342,Health and Healing VI: Global Health Issues
NURS350 - Health and Healing VII: Promoting Community and Societal Health,NURS,350,Health and Healing VII: Promoting Community and Societal Health
NURS351 - Nursing Practice VI: Promoting Health of Communities and Society,NURS,351,Nursing Practice VI: Promoting Health of Communities and Society
NURS360 - Professional Practice VI: Nursing Research,NURS,360,Professional Practice VI: Nursing Research
NURS370 - Consolidated Practice Experience III,NURS,370,Consolidated Practice Experience III
NURS390 - Directed Studies,NURS,390,Directed Studies
NURS425 - Quantitative and Qualitative Analysis,NURS,425,Quantitative and Qualitative Analysis
NURS430 - Professional Practice V: Leadership in Nursing,NURS,430,Professional Practice V: Leadership in Nursing
NURS431 - Nursing Practice VII: Engaging in Leadership,NURS,431,Nursing Practice VII: Engaging in Leadership
NURS456 - Nursing within Communities and Health Systems,NURS,456,Nursing within Communities and Health Systems
NURS470 - Consolidated Practice Experience IV,NURS,470,Consolidated Practice Experience IV
NURS475 - Consolidated Practice Experience V,NURS,475,Consolidated Practice Experience V
NURS480 - Special Topics,NURS,480,Special Topics
NURS481C - Nursing Practice in Hospice Palliative Care,NURS,481C,Nursing Practice in Hospice Palliative Care
NURS482 - Pharmacological Knowledge for Nursing Practice,NURS,482,Pharmacological Knowledge for Nursing Practice
NURS484 - Understanding Indigenous Health and Wellbeing,NURS,484,Understanding Indigenous Health and Wellbeing
NURS487 - Health Care Law,NURS,487,Health Care Law
NURS490 - Directed Studies,NURS,490,Directed Studies
NURS491 - Nursing Practice VIII: Transitions,NURS,491,Nursing Practice VIII: Transitions
NURS493A - Community Health Nursing,NURS,493A,Community Health Nursing
NURS493C - Lived Experience of Health in Aging,NURS,493C,Lived Experience of Health in Aging
NURS495 - Nursing Practice Synthesis,NURS,495,Nursing Practice Synthesis
NURS496 - Nursing with Childbearing Families,NURS,496,Nursing with Childbearing Families
NURS497 - Nursing at the Intersections in Mental Health and Substance Use,NURS,497,Nursing at the Intersections in Mental Health and Substance Use
PAAS100 - Introduction to Pacific and Asian Studies,PAAS,100,Introduction to Pacific and Asian Studies
"PAAS101 - Text, Manipulation, Propaganda",PAAS,101,"Text, Manipulation, Propaganda"
PAAS103 - Global Wars in Asia and the Pacific,PAAS,103,Global Wars in Asia and the Pacific
PAAS116 - Beginner Chinese I: Part 1,PAAS,116,Beginner Chinese I: Part 1
PAAS117 - Beginner Chinese I: Part 2,PAAS,117,Beginner Chinese I: Part 2
PAAS118 - Intensive Beginner Chinese I,PAAS,118,Intensive Beginner Chinese I
PAAS120 - Introduction to Indonesian I,PAAS,120,Introduction to Indonesian I
PAAS121 - Introduction to Indonesian II,PAAS,121,Introduction to Indonesian II
PAAS125 - Introduction to Filipino I,PAAS,125,Introduction to Filipino I
PAAS126 - Introduction to Filipino II,PAAS,126,Introduction to Filipino II
PAAS128 - Introduction to Korean I,PAAS,128,Introduction to Korean I
PAAS129 - Introduction to Korean II,PAAS,129,Introduction to Korean II
PAAS138 - Intensive Beginner Japanese I,PAAS,138,Intensive Beginner Japanese I
PAAS150 - Premodern Chinese Culture,PAAS,150,Premodern Chinese Culture
PAAS151 - Modern Chinese Culture,PAAS,151,Modern Chinese Culture
PAAS152 - Essentials of Chinese Civilisation (in Chinese),PAAS,152,Essentials of Chinese Civilisation (in Chinese)
PAAS153 - Chinese Food Culture,PAAS,153,Chinese Food Culture
PAAS170 - Premodern Southeast Asian Cultures,PAAS,170,Premodern Southeast Asian Cultures
PAAS171 - Modern Southeast Asian Cultures,PAAS,171,Modern Southeast Asian Cultures
PAAS180 - Premodern Japanese Culture,PAAS,180,Premodern Japanese Culture
PAAS181 - Modern Japanese Culture,PAAS,181,Modern Japanese Culture
PAAS202 - Topics in Asian Cinema,PAAS,202,Topics in Asian Cinema
PAAS204 - Introduction to Asian Religions,PAAS,204,Introduction to Asian Religions
PAAS206 - Comics and Graphic Novels in Asia and the Pacific,PAAS,206,Comics and Graphic Novels in Asia and the Pacific
PAAS207 - Ghosts and Spirits,PAAS,207,Ghosts and Spirits
"PAAS208 - Family, Gender and Sexuality in the Asia-Pacific",PAAS,208,"Family, Gender and Sexuality in the Asia-Pacific"
PAAS209 - Introductory Special Topics in Pacific and Asian Studies,PAAS,209,Introductory Special Topics in Pacific and Asian Studies
"PAAS215 - Language, Media and Translation in PAAS",PAAS,215,"Language, Media and Translation in PAAS"
PAAS218 - Intensive Beginner Chinese II,PAAS,218,Intensive Beginner Chinese II
PAAS220 - Intermediate Indonesian I,PAAS,220,Intermediate Indonesian I
PAAS221 - Intermediate Indonesian II,PAAS,221,Intermediate Indonesian II
PAAS225 - Intermediate Filipino I,PAAS,225,Intermediate Filipino I
PAAS226 - Intermediate Filipino II,PAAS,226,Intermediate Filipino II
PAAS228 - Pre-Intermediate Korean I,PAAS,228,Pre-Intermediate Korean I
PAAS229 - Pre-Intermediate Korean II,PAAS,229,Pre-Intermediate Korean II
PAAS238 - Intensive Beginner Japanese II,PAAS,238,Intensive Beginner Japanese II
PAAS240 - Traditions of Death and Dying in Asia,PAAS,240,Traditions of Death and Dying in Asia
PAAS252 - Pop Cultural Asia,PAAS,252,Pop Cultural Asia
PAAS253 - Activism in Asia,PAAS,253,Activism in Asia
PAAS265A - China and the Premodern World,PAAS,265A,China and the Premodern World
PAAS265B - China and the Modern West,PAAS,265B,China and the Modern West
PAAS274 - How to Learn a Language,PAAS,274,How to Learn a Language
PAAS275 - Modern South Asia from Early Empires to Gandhi,PAAS,275,Modern South Asia from Early Empires to Gandhi
PAAS279 - Introduction to Chinese Language and Linguistics,PAAS,279,Introduction to Chinese Language and Linguistics
PAAS280 - A Taste of Japan,PAAS,280,A Taste of Japan
PAAS285 - Environmental Justice in Asia,PAAS,285,Environmental Justice in Asia
PAAS299 - Experiential Learning,PAAS,299,Experiential Learning
PAAS305 - Religions of East Asia,PAAS,305,Religions of East Asia
PAAS307 - Globalization and Religion,PAAS,307,Globalization and Religion
PAAS309 - Human Rights and Cultural Expression in the Asia-Pacific Region,PAAS,309,Human Rights and Cultural Expression in the Asia-Pacific Region
"PAAS315 - Critical Approaches to History, Culture and Society in PAAS",PAAS,315,"Critical Approaches to History, Culture and Society in PAAS"
PAAS318 - Intermediate Chinese,PAAS,318,Intermediate Chinese
PAAS320 - Indigenous Modernities in Asia,PAAS,320,Indigenous Modernities in Asia
PAAS338 - Intermediate Japanese,PAAS,338,Intermediate Japanese
PAAS340 - Integrative Intermediate Japanese,PAAS,340,Integrative Intermediate Japanese
PAAS341 - Advanced Readings in Japanese I,PAAS,341,Advanced Readings in Japanese I
PAAS342 - Advanced Readings in Japanese II,PAAS,342,Advanced Readings in Japanese II
PAAS343 - Advanced Comprehension and Conversation in Japanese,PAAS,343,Advanced Comprehension and Conversation in Japanese
PAAS344 - Advanced Composition in Japanese,PAAS,344,Advanced Composition in Japanese
PAAS345 - Japanese through Popular Culture,PAAS,345,Japanese through Popular Culture
PAAS346 - Digital Asia,PAAS,346,Digital Asia
PAAS351 - Contemporary Chinese Society,PAAS,351,Contemporary Chinese Society
PAAS352 - Global Taiwan,PAAS,352,Global Taiwan
PAAS353 - Survey of Classical Chinese Literature,PAAS,353,Survey of Classical Chinese Literature
PAAS355 - Modern Chinese Literature and Society 1900-1949 (in English),PAAS,355,Modern Chinese Literature and Society 1900-1949 (in English)
PAAS356 - The Literature of the People's Republic of China 1949 to the Present in English,PAAS,356,The Literature of the People's Republic of China 1949 to the Present in English
PAAS357 - Chinese Cinema from Text to Screen,PAAS,357,Chinese Cinema from Text to Screen
"PAAS358 - Screening the Nation: Nationalism, Ideology, and Politics in Chinese Cinema",PAAS,358,"Screening the Nation: Nationalism, Ideology, and Politics in Chinese Cinema"
PAAS361 - War and Revolution in China,PAAS,361,War and Revolution in China
PAAS363 - Buddhism,PAAS,363,Buddhism
PAAS366 - Gendering India from Empire to Bollywood,PAAS,366,Gendering India from Empire to Bollywood
PAAS367 - Gandhi and the Ethics of Nonviolence,PAAS,367,Gandhi and the Ethics of Nonviolence
PAAS372 - Southeast Asian Cinema,PAAS,372,Southeast Asian Cinema
PAAS374 - Short Films and Filmmaking in Asia,PAAS,374,Short Films and Filmmaking in Asia
PAAS375 - History of Decolonization in Asia and Africa,PAAS,375,History of Decolonization in Asia and Africa
PAAS376 - Street Art and Graffiti in Asia,PAAS,376,Street Art and Graffiti in Asia
"PAAS380 - Japanese Economy, Politics and Culture",PAAS,380,"Japanese Economy, Politics and Culture"
"PAAS385 - Sex, Gender and the Body in Japanese Culture",PAAS,385,"Sex, Gender and the Body in Japanese Culture"
PAAS386 - Premodern Japanese Literature in Translation,PAAS,386,Premodern Japanese Literature in Translation
PAAS388 - Modern Japanese Literature in Translation,PAAS,388,Modern Japanese Literature in Translation
PAAS393 - Humanism in Japanese Cinema to the 1960s,PAAS,393,Humanism in Japanese Cinema to the 1960s
PAAS394 - Pre-modern Japanese Theatre,PAAS,394,Pre-modern Japanese Theatre
PAAS395 - Intermediate Topics in Pacific and Asian Studies,PAAS,395,Intermediate Topics in Pacific and Asian Studies
PAAS396 - Directed Experiential Learning in Pacific and Asian Studies,PAAS,396,Directed Experiential Learning in Pacific and Asian Studies
PAAS397 - Field School in Pacific and Asian Studies,PAAS,397,Field School in Pacific and Asian Studies
PAAS398 - Asia-Pacific Experiential Learning Project,PAAS,398,Asia-Pacific Experiential Learning Project
PAAS399 - Sociolinguistic Issues in Japanese,PAAS,399,Sociolinguistic Issues in Japanese
PAAS400 - Advanced Research Seminar,PAAS,400,Advanced Research Seminar
PAAS404 - Asian Horror Cinema,PAAS,404,Asian Horror Cinema
"PAAS409 - Globalization, Cosmopolitanism and Asian-Pacific Cultures",PAAS,409,"Globalization, Cosmopolitanism and Asian-Pacific Cultures"
PAAS410 - Advanced Topics in Chinese Language and Culture,PAAS,410,Advanced Topics in Chinese Language and Culture
PAAS411 - Directed Readings in Chinese Language,PAAS,411,Directed Readings in Chinese Language
PAAS412 - Understanding Chinese Media,PAAS,412,Understanding Chinese Media
PAAS413 - Effective Communication in Chinese,PAAS,413,Effective Communication in Chinese
PAAS418 - Classical Chinese Prose,PAAS,418,Classical Chinese Prose
PAAS420 - Chinese Narrative,PAAS,420,Chinese Narrative
PAAS430 - Seminar in Modern Japanese Literature,PAAS,430,Seminar in Modern Japanese Literature
PAAS432 - Directed Readings in Japanese,PAAS,432,Directed Readings in Japanese
PAAS440 - Anti-Colonial Movements in Asia,PAAS,440,Anti-Colonial Movements in Asia
PAAS451 - Asian Mega-Cities and Urban Regions,PAAS,451,Asian Mega-Cities and Urban Regions
PAAS452 - Teaching and Learning Chinese as an Additional Language,PAAS,452,Teaching and Learning Chinese as an Additional Language
PAAS455 - Authors in Contemporary Chinese Literature,PAAS,455,Authors in Contemporary Chinese Literature
PAAS456 - Thematic Study of Contemporary Chinese Literature in Translation,PAAS,456,Thematic Study of Contemporary Chinese Literature in Translation
PAAS457 - Authors in Classical Chinese Literature,PAAS,457,Authors in Classical Chinese Literature
PAAS458 - Themes in Classical Chinese Literature,PAAS,458,Themes in Classical Chinese Literature
PAAS459 - Directed Readings in Chinese Linguistics,PAAS,459,Directed Readings in Chinese Linguistics
PAAS464 - Topics in Studies of Australasia,PAAS,464,Topics in Studies of Australasia
PAAS481 - Transcultural Japan,PAAS,481,Transcultural Japan
PAAS484 - Identity in Animated Japanese Cinema,PAAS,484,Identity in Animated Japanese Cinema
"PAAS485 - Seminar in Japanese Language, Literature and Culture",PAAS,485,"Seminar in Japanese Language, Literature and Culture"
"PAAS487 - Trends in Japanese Cinema, 1960 to Present",PAAS,487,"Trends in Japanese Cinema, 1960 to Present"
PAAS488 - Japanese Fantasy,PAAS,488,Japanese Fantasy
PAAS493 - Seminar in Buddhism in English,PAAS,493,Seminar in Buddhism in English
PAAS494 - Special Topics in Translating Asian Languages,PAAS,494,Special Topics in Translating Asian Languages
PAAS495 - Advanced Topics in Pacific and Asian Studies,PAAS,495,Advanced Topics in Pacific and Asian Studies
PAAS496 - Directed Studies in Pacific and Asian Studies,PAAS,496,Directed Studies in Pacific and Asian Studies
PAAS497 - Special Topics in Asian Languages,PAAS,497,Special Topics in Asian Languages
PAAS499 - Honours Thesis,PAAS,499,Honours Thesis
PHIL100 - Introduction to Philosophy,PHIL,100,Introduction to Philosophy
PHIL201 - Critical Thinking,PHIL,201,Critical Thinking
PHIL203 - Elementary Formal Logic,PHIL,203,Elementary Formal Logic
PHIL204 - Traditions of Asian Philosophy,PHIL,204,Traditions of Asian Philosophy
PHIL207A - Introduction to Ancient Philosophy,PHIL,207A,Introduction to Ancient Philosophy
PHIL208 - Introduction to Islamic Philosophy,PHIL,208,Introduction to Islamic Philosophy
PHIL210 - Introduction to Early Modern Philosophy,PHIL,210,Introduction to Early Modern Philosophy
PHIL211 - Introduction to Existentialism,PHIL,211,Introduction to Existentialism
PHIL220 - Introduction to Philosophy of Science,PHIL,220,Introduction to Philosophy of Science
PHIL223 - Introduction to Philosophy of the Social Sciences,PHIL,223,Introduction to Philosophy of the Social Sciences
PHIL225 - Death and Dying,PHIL,225,Death and Dying
PHIL232 - Moral Problems of Contemporary Society,PHIL,232,Moral Problems of Contemporary Society
"PHIL235 - Ethics of Violence, War and Terrorism",PHIL,235,"Ethics of Violence, War and Terrorism"
PHIL236 - Introduction to Social and Political Philosophy,PHIL,236,Introduction to Social and Political Philosophy
PHIL238 - Philosophy in Literature,PHIL,238,Philosophy in Literature
PHIL239 - Philosophy and Feminism,PHIL,239,Philosophy and Feminism
PHIL240 - Introduction to Philosophy of Art,PHIL,240,Introduction to Philosophy of Art
"PHIL251 - Knowledge, Certainty and Skepticism",PHIL,251,"Knowledge, Certainty and Skepticism"
PHIL252 - Introduction to Metaphysics,PHIL,252,Introduction to Metaphysics
PHIL260 - Introduction to Philosophy of Mind,PHIL,260,Introduction to Philosophy of Mind
PHIL261 - Philosophy of Religion,PHIL,261,Philosophy of Religion
PHIL290 - Introduction to Selected Topics,PHIL,290,Introduction to Selected Topics
PHIL301 - Plato,PHIL,301,Plato
PHIL303 - Aristotle,PHIL,303,Aristotle
PHIL305A - Early Medieval Philosophy,PHIL,305A,Early Medieval Philosophy
PHIL305B - Later Medieval Philosophy,PHIL,305B,Later Medieval Philosophy
PHIL306 - The Rationalists,PHIL,306,The Rationalists
PHIL308 - The Empiricists,PHIL,308,The Empiricists
PHIL309 - Kant,PHIL,309,Kant
PHIL311 - Existentialist Thinkers,PHIL,311,Existentialist Thinkers
PHIL314 - 19th-Century Philosophy,PHIL,314,19th-Century Philosophy
PHIL316 - History of Analytic Philosophy,PHIL,316,History of Analytic Philosophy
PHIL321 - Philosophy of Medicine,PHIL,321,Philosophy of Medicine
PHIL330 - Professional and Business Ethics,PHIL,330,Professional and Business Ethics
PHIL331 - Biomedical Ethics,PHIL,331,Biomedical Ethics
PHIL333 - Philosophy and the Environment,PHIL,333,Philosophy and the Environment
PHIL335 - Contemporary Moral Philosophy,PHIL,335,Contemporary Moral Philosophy
PHIL336 - Philosophy of Law,PHIL,336,Philosophy of Law
PHIL337 - Ethics: Theory and Practice,PHIL,337,Ethics: Theory and Practice
PHIL338 - Meta-ethics,PHIL,338,Meta-ethics
PHIL339 - Theories of Justice,PHIL,339,Theories of Justice
PHIL351 - Epistemology,PHIL,351,Epistemology
PHIL352 - Metaphysics,PHIL,352,Metaphysics
PHIL354 - Philosophy of Language,PHIL,354,Philosophy of Language
PHIL356 - Philosophy of Science,PHIL,356,Philosophy of Science
PHIL358 - Theory of Perception,PHIL,358,Theory of Perception
PHIL360 - Philosophy and Film,PHIL,360,Philosophy and Film
PHIL362 - Philosophy of Mind,PHIL,362,Philosophy of Mind
PHIL370 - Theoretical Logic,PHIL,370,Theoretical Logic
PHIL371 - Logic,PHIL,371,Logic
PHIL375 - Philosophy of Mathematics,PHIL,375,Philosophy of Mathematics
PHIL379 - Early Greek Thought,PHIL,379,Early Greek Thought
PHIL380 - Wittgenstein,PHIL,380,Wittgenstein
PHIL383 - The Life and Times of Socrates,PHIL,383,The Life and Times of Socrates
PHIL390 - Topics in Philosophy,PHIL,390,Topics in Philosophy
PHIL391 - Directed Studies in Philosophy,PHIL,391,Directed Studies in Philosophy
PHIL420 - Advanced Topics in Philosophy of Science,PHIL,420,Advanced Topics in Philosophy of Science
PHIL424 - Advanced Studies in Ancient Philosophy,PHIL,424,Advanced Studies in Ancient Philosophy
PHIL426 - Major Figures in Ancient Philosophy,PHIL,426,Major Figures in Ancient Philosophy
PHIL427 - Advanced Studies in Early Modern Philosophy,PHIL,427,Advanced Studies in Early Modern Philosophy
PHIL430 - Advanced Ethics,PHIL,430,Advanced Ethics
PHIL431 - Advanced Biomedical Ethics,PHIL,431,Advanced Biomedical Ethics
PHIL433 - Advanced Social and Political Philosophy,PHIL,433,Advanced Social and Political Philosophy
PHIL436 - Advanced Philosophy of Law,PHIL,436,Advanced Philosophy of Law
PHIL440 - Advanced Aesthetics,PHIL,440,Advanced Aesthetics
PHIL450 - Advanced Metaphysics,PHIL,450,Advanced Metaphysics
PHIL451 - Advanced Epistemology,PHIL,451,Advanced Epistemology
PHIL453 - Advanced Theory of Perception,PHIL,453,Advanced Theory of Perception
PHIL460 - Advanced Philosophy of Mind,PHIL,460,Advanced Philosophy of Mind
PHIL462 - Advanced Philosophy of Language,PHIL,462,Advanced Philosophy of Language
PHIL490 - Advanced Topics in Philosophy,PHIL,490,Advanced Topics in Philosophy
PHIL491 - Directed Studies in Philosophical Topics,PHIL,491,Directed Studies in Philosophical Topics
PHYS102A - General Physics I,PHYS,102A,General Physics I
PHYS102B - General Physics II,PHYS,102B,General Physics II
PHYS110 - Introductory Physics I,PHYS,110,Introductory Physics I
PHYS111 - Introductory Physics II,PHYS,111,Introductory Physics II
PHYS120 - Physics I,PHYS,120,Physics I
PHYS130 - Physics II,PHYS,130,Physics II
PHYS210 - Introductory Geophysics,PHYS,210,Introductory Geophysics
PHYS215 - Introductory Quantum Physics,PHYS,215,Introductory Quantum Physics
PHYS216 - Introductory Electricity and Magnetism,PHYS,216,Introductory Electricity and Magnetism
PHYS223 - Introductory Quantum Computing,PHYS,223,Introductory Quantum Computing
PHYS229 - Introduction to Experimental Physics,PHYS,229,Introduction to Experimental Physics
PHYS232 - Introductory Biomedical Physics,PHYS,232,Introductory Biomedical Physics
PHYS248 - Computer Assisted Physics,PHYS,248,Computer Assisted Physics
PHYS280 - Special Topics in Physics,PHYS,280,Special Topics in Physics
PHYS290 - Directed Studies,PHYS,290,Directed Studies
PHYS301 - Introductory Mathematical Physics,PHYS,301,Introductory Mathematical Physics
"PHYS303 - Origin of Space, Time and Matter in the Universe",PHYS,303,"Origin of Space, Time and Matter in the Universe"
PHYS304 - Physics of Science Fiction,PHYS,304,Physics of Science Fiction
PHYS313 - Atomic and Molecular Physics,PHYS,313,Atomic and Molecular Physics
PHYS314 - Nuclear Physics and Radioactivity,PHYS,314,Nuclear Physics and Radioactivity
PHYS317 - Thermodynamics,PHYS,317,Thermodynamics
PHYS321A - Classical Mechanics I,PHYS,321A,Classical Mechanics I
PHYS321B - Classical Mechanics II,PHYS,321B,Classical Mechanics II
PHYS323 - Quantum Mechanics I,PHYS,323,Quantum Mechanics I
PHYS325 - Optics,PHYS,325,Optics
PHYS326 - Electricity and Magnetism,PHYS,326,Electricity and Magnetism
PHYS328 - Solid State Physics I,PHYS,328,Solid State Physics I
PHYS329 - Intermediate Physics Laboratory,PHYS,329,Intermediate Physics Laboratory
PHYS340 - Atmospheric Physics,PHYS,340,Atmospheric Physics
PHYS342 - Computational Modeling and Analysis,PHYS,342,Computational Modeling and Analysis
PHYS410 - Topics in Mathematical Physics I,PHYS,410,Topics in Mathematical Physics I
PHYS411 - Time Series Analysis,PHYS,411,Time Series Analysis
PHYS415 - General Relativity and Cosmology,PHYS,415,General Relativity and Cosmology
PHYS421 - Statistical Mechanics,PHYS,421,Statistical Mechanics
PHYS422 - Electromagnetic Theory,PHYS,422,Electromagnetic Theory
PHYS423 - Quantum Mechanics II,PHYS,423,Quantum Mechanics II
PHYS424 - Particle Physics,PHYS,424,Particle Physics
PHYS426 - Fluid Mechanics,PHYS,426,Fluid Mechanics
PHYS427 - Geophysics,PHYS,427,Geophysics
PHYS429A - Honours Laboratory,PHYS,429A,Honours Laboratory
PHYS432 - Medical Physics,PHYS,432,Medical Physics
PHYS435 - Introduction to Accelerator Physics,PHYS,435,Introduction to Accelerator Physics
PHYS438 - Solid State Physics II,PHYS,438,Solid State Physics II
PHYS441 - Physical Oceanography,PHYS,441,Physical Oceanography
PHYS460A - Colloquium I,PHYS,460A,Colloquium I
PHYS460B - Colloquium II,PHYS,460B,Colloquium II
PHYS480 - Advanced Special Topics in Physics,PHYS,480,Advanced Special Topics in Physics
PHYS490 - Directed Studies,PHYS,490,Directed Studies
PHYS499 - Honours Thesis,PHYS,499,Honours Thesis
POLI101 - Canadian Politics,POLI,101,Canadian Politics
POLI103 - The Worlds of Politics,POLI,103,The Worlds of Politics
POLI201 - Canadian Institutions of Government,POLI,201,Canadian Institutions of Government
POLI202 - An Introduction to Political Theory,POLI,202,An Introduction to Political Theory
POLI210 - Comparative Politics,POLI,210,Comparative Politics
POLI211 - European Integration and the European Union,POLI,211,European Integration and the European Union
POLI217 - Global Development,POLI,217,Global Development
POLI240 - International Politics,POLI,240,International Politics
POLI263 - The Politics of Indigenous Peoples,POLI,263,The Politics of Indigenous Peoples
POLI300A - Ancient and Medieval Political Thought,POLI,300A,Ancient and Medieval Political Thought
POLI300B - Early Modern Political Thought,POLI,300B,Early Modern Political Thought
POLI300C - Post-Enlightenment Political Thought,POLI,300C,Post-Enlightenment Political Thought
POLI305 - The Politics of Diversity,POLI,305,The Politics of Diversity
POLI306 - Introduction to Marxism,POLI,306,Introduction to Marxism
POLI309 - Democracy and Disobedience,POLI,309,Democracy and Disobedience
POLI311 - Governments and Politics in Europe,POLI,311,Governments and Politics in Europe
"POLI313A - U.S. Politics: Parties, Elections, and Social Movements",POLI,313A,"U.S. Politics: Parties, Elections, and Social Movements"
"POLI313B - U.S. Politics: Public Policy, the Constitution, and Civil Liberties",POLI,313B,"U.S. Politics: Public Policy, the Constitution, and Civil Liberties"
POLI319 - Issues in Comparative Politics,POLI,319,Issues in Comparative Politics
POLI320 - The Canadian Constitution,POLI,320,The Canadian Constitution
POLI321 - Introduction to Research Methods in Politics,POLI,321,Introduction to Research Methods in Politics
POLI322 - Sweatshops and the Politics of the Clothing Industry,POLI,322,Sweatshops and the Politics of the Clothing Industry
POLI323 - Issues in Politics,POLI,323,Issues in Politics
POLI324 - China and the World,POLI,324,China and the World
POLI326 - Politics of the Global Arctic,POLI,326,Politics of the Global Arctic
POLI327 - Political Economy in the Global South,POLI,327,Political Economy in the Global South
POLI328 - Gender and International Relations,POLI,328,Gender and International Relations
POLI329 - The Political Foundations of International Law,POLI,329,The Political Foundations of International Law
POLI335 - Gender and Politics,POLI,335,Gender and Politics
POLI338 - Approaches to Political Analysis (Seminar Course),POLI,338,Approaches to Political Analysis (Seminar Course)
POLI340 - International Studies,POLI,340,International Studies
POLI341 - The United Nations and Global Issues,POLI,341,The United Nations and Global Issues
POLI343 - International Organization,POLI,343,International Organization
POLI344 - International Political Economy,POLI,344,International Political Economy
POLI345 - Ethics in International Relations,POLI,345,Ethics in International Relations
POLI346 - Canadian Foreign Policy,POLI,346,Canadian Foreign Policy
POLI348 - International Security,POLI,348,International Security
POLI349 - Issues in International Politics,POLI,349,Issues in International Politics
POLI350 - Introduction to Public Administration,POLI,350,Introduction to Public Administration
POLI351 - Public Policy Analysis,POLI,351,Public Policy Analysis
POLI357 - Canadian Environmental Politics,POLI,357,Canadian Environmental Politics
POLI363 - Indigenous Politics in Canada,POLI,363,Indigenous Politics in Canada
POLI364 - Canadian Public Policy,POLI,364,Canadian Public Policy
POLI365 - British Columbia Political Economy,POLI,365,British Columbia Political Economy
POLI366 - Canadian Political Economy,POLI,366,Canadian Political Economy
POLI367 - The Politics of Race in Canada,POLI,367,The Politics of Race in Canada
POLI369 - Issues in Canadian Politics,POLI,369,Issues in Canadian Politics
POLI370 - The Politics of Surveillance,POLI,370,The Politics of Surveillance
POLI371 - Chinese Politics,POLI,371,Chinese Politics
POLI372 - Latin American Politics,POLI,372,Latin American Politics
POLI373 - African Politics,POLI,373,African Politics
POLI379 - Topics in Contemporary European Politics,POLI,379,Topics in Contemporary European Politics
POLI380 - Communication and Politics,POLI,380,Communication and Politics
POLI381 - Politics of Mass Media in Latin America,POLI,381,Politics of Mass Media in Latin America
POLI382 - Politics and Religion,POLI,382,Politics and Religion
POLI383 - Global Indigenous Nationalisms,POLI,383,Global Indigenous Nationalisms
POLI384 - Political Thought Across Boundaries,POLI,384,Political Thought Across Boundaries
"POLI385 - Gender, Race and Power",POLI,385,"Gender, Race and Power"
POLI386 - Issues in Political Theory,POLI,386,Issues in Political Theory
POLI387 - Feminist Political Economy,POLI,387,Feminist Political Economy
POLI390 - Directed Experiential Learning,POLI,390,Directed Experiential Learning
POLI391 - Politics of Environment and Development Field School,POLI,391,Politics of Environment and Development Field School
POLI401 - Advanced Topics in Political Theory,POLI,401,Advanced Topics in Political Theory
